date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:58	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Jul%202021%2018:47:19%20GMT	https://sunup.edu.bd/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-includes/js/jquery/jquery.minaf6c.js	(from https://sunup.edu.bd/)
10:10:59	1486/1486	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2007%20Sep%202021%2006:00:01%20GMT	https://sunup.edu.bd/wp-content/plugins/tc-portfolio/assets/js/tc-custom.js?ver=6.0.3	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/plugins/tc-portfolio/assets/js/tc-custom1eb7.js	(from https://sunup.edu.bd/)
10:11:01	786/786	---M-Z	200	added ('OK')	text/xml	date:Fri,%2021%20Oct%202022%2004:11:01%20GMT	https://sunup.edu.bd/xmlrpc.php?rsd	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/xmlrpc0db0.php	(from https://sunup.edu.bd/)
10:11:01	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Wed,%2030%20Jan%202019%2015:57:25%20GMT	https://sunup.edu.bd/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-includes/wlwmanifest.xml	(from https://sunup.edu.bd/)
10:11:02	2379/2379	---M--	200	added ('OK')	application/json	date:Fri,%2021%20Oct%202022%2004:11:02%20GMT	https://sunup.edu.bd/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsunup.edu.bd%2F	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-json/oembed/1.0/embed8c54.json	(from https://sunup.edu.bd/)
10:11:03	252169/252169	---MC-	200	added ('OK')	application/json	date:Fri,%2021%20Oct%202022%2004:11:00%20GMT	https://sunup.edu.bd/wp-json/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-json/index.html	(from https://sunup.edu.bd/)
10:11:04	2451/2451	---M-Z	200	added ('OK')	text/xml	date:Fri,%2021%20Oct%202022%2004:11:04%20GMT	https://sunup.edu.bd/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsunup.edu.bd%2F&format=xml	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-json/oembed/1.0/embede6c5	(from https://sunup.edu.bd/)
10:11:04	114602/114602	---MC-	200	added ('OK')	application/json	date:Fri,%2021%20Oct%202022%2004:11:00%20GMT	https://sunup.edu.bd/wp-json/wp/v2/pages/8	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-json/wp/v2/pages/8.json	(from https://sunup.edu.bd/)
10:11:05	91755/91755	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Aug%202021%2007:05:27%20GMT	https://sunup.edu.bd/wp-content/uploads/2021/08/SunUp-School-BG.png	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2021/08/SunUp-School-BG.png	(from https://sunup.edu.bd/)
10:11:06	259134/259134	---M--	200	added ('OK')	image/x-icon	date:Sun,%2005%20Jan%202020%2006:42:39%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/01/Sunup-Logo.ico	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/01/Sunup-Logo.ico	(from https://sunup.edu.bd/)
10:11:07	47282/47282	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Aug%202021%2007:42:42%20GMT	https://sunup.edu.bd/wp-content/uploads/2021/08/Mail-Icon-of-SunUp.png	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2021/08/Mail-Icon-of-SunUp.png	(from https://sunup.edu.bd/)
10:11:07	47490/47490	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Aug%202021%2007:42:46%20GMT	https://sunup.edu.bd/wp-content/uploads/2021/08/Phone-Icon-of-SunUp.png	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2021/08/Phone-Icon-of-SunUp.png	(from https://sunup.edu.bd/)
10:11:07	6526/6526	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:07%20GMT	https://sunup.edu.bd/sunup/certificate_verification/index.php	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/sunup/certificate_verification/index.html	(from https://sunup.edu.bd/)
10:11:08	10286/10286	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:08%20GMT	https://sunup.edu.bd/sunup/site/userlogin	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/sunup/site/userlogin.html	(from https://sunup.edu.bd/)
10:11:08	5765/5765	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:08%20GMT	https://sunup.edu.bd/sunup/site/login	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/sunup/site/login.html	(from https://sunup.edu.bd/)
10:11:10	117025/117025	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Jan%202020%2009:27:47%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/01/Sunup-International-School-College_2.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/01/Sunup-International-School-College_2.jpg	(from https://sunup.edu.bd/)
10:11:10	405931/405931	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Jan%202020%2006:36:51%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/01/Sunup-Logo.png	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/01/Sunup-Logo.png	(from https://sunup.edu.bd/)
10:11:10	15211/15211	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Aug%202021%2010:37:34%20GMT	https://sunup.edu.bd/wp-content/uploads/2021/08/Student-Icon-of-SunUp-254x300.png	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2021/08/Student-Icon-of-SunUp-254x300.png	(from https://sunup.edu.bd/)
10:11:11	79368/79368	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:10%20GMT	https://sunup.edu.bd/principals-message/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/principals-message/index.html	(from https://sunup.edu.bd/)
10:11:11	77972/77972	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:11%20GMT	https://sunup.edu.bd/mission-vision/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/mission-vision/index.html	(from https://sunup.edu.bd/)
10:11:11	80016/80016	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:11%20GMT	https://sunup.edu.bd/history/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/history/index.html	(from https://sunup.edu.bd/)
10:11:13	79896/79896	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:12%20GMT	https://sunup.edu.bd/salient-features/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/salient-features/index.html	(from https://sunup.edu.bd/)
10:11:13	80652/80652	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:12%20GMT	https://sunup.edu.bd/aims-objectives/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/aims-objectives/index.html	(from https://sunup.edu.bd/)
10:11:15	229920/229920	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Aug%202021%2010:44:04%20GMT	https://sunup.edu.bd/wp-content/uploads/2021/08/Principals-Profile.png	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2021/08/Principals-Profile.png	(from https://sunup.edu.bd/)
10:11:15	82352/82352	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:13%20GMT	https://sunup.edu.bd/campus-1/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/campus-1/index.html	(from https://sunup.edu.bd/)
10:11:16	116427/116427	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Jan%202020%2006:16:23%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/01/1-2.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/01/1-2.jpg	(from https://sunup.edu.bd/)
10:11:17	82315/82315	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:15%20GMT	https://sunup.edu.bd/campus-2/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/campus-2/index.html	(from https://sunup.edu.bd/)
10:11:19	91563/91563	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:22:21%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/Sunup-Online-Activities-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/Sunup-Online-Activities-1024x576.jpg	(from https://sunup.edu.bd/)
10:11:19	79902/79902	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:17%20GMT	https://sunup.edu.bd/admission-notice/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/admission-notice/index.html	(from https://sunup.edu.bd/)
10:11:21	77980/77980	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:20%20GMT	https://sunup.edu.bd/our-brochure/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/our-brochure/index.html	(from https://sunup.edu.bd/)
10:11:22	80216/80216	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:21%20GMT	https://sunup.edu.bd/academics-programme/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/academics-programme/index.html	(from https://sunup.edu.bd/)
10:11:23	52136/52136	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:23:51%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/2-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/2-1024x576.jpg	(from https://sunup.edu.bd/)
10:11:24	70881/70881	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:23:54%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/3-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/3-1024x576.jpg	(from https://sunup.edu.bd/)
10:11:26	72649/72649	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:23:59%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/4-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/4-1024x576.jpg	(from https://sunup.edu.bd/)
10:11:26	76978/76978	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:24%20GMT	https://sunup.edu.bd/admission-form/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/admission-form/index.html	(from https://sunup.edu.bd/)
10:11:29	56051/56051	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:24:04%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/5-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/5-1024x576.jpg	(from https://sunup.edu.bd/)
10:11:29	84210/84210	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:27%20GMT	https://sunup.edu.bd/management/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/management/index.html	(from https://sunup.edu.bd/)
10:11:30	67711/67711	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:24:07%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/6-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/6-1024x576.jpg	(from https://sunup.edu.bd/)
10:11:31	81314/81314	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:29%20GMT	https://sunup.edu.bd/academic-head/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/academic-head/index.html	(from https://sunup.edu.bd/)
10:11:33	72945/72945	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:24:11%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/7-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/7-1024x576.jpg	(from https://sunup.edu.bd/)
10:11:33	135567/135567	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:31%20GMT	https://sunup.edu.bd/teachers/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/teachers/index.html	(from https://sunup.edu.bd/)
10:11:35	76343/76343	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:24:14%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/8-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/8-1024x576.jpg	(from https://sunup.edu.bd/)
10:11:35	79130/79130	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:33%20GMT	https://sunup.edu.bd/e-learning/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/e-learning/index.html	(from https://sunup.edu.bd/)
10:11:37	61301/61301	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:24:16%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/9-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/9-1024x576.jpg	(from https://sunup.edu.bd/)
10:11:38	78377/78377	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:36%20GMT	https://sunup.edu.bd/students-oath/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/students-oath/index.html	(from https://sunup.edu.bd/)
10:11:39	75089/75089	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:24:20%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/10-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/10-1024x576.jpg	(from https://sunup.edu.bd/)
